,Object Number,Is Highlight,Is Public Domain,Object ID,Object Name,Medium,Department,Culture,Object Begin Date,Object End Date,Artist Nationality,Artist_Nationality_new
0,62.16,True,True,1674,Side Chair,"Mahogany, ebony, ash, birch, white pine",American Decorative Arts,American,1794,1799,,
1,13.7.17,False,False,2430,Pitcher,Earthenware,American Decorative Arts,American,1700,1900,,
2,33.85.11,False,False,6406,Plate,Earthenware,American Decorative Arts,Dutch,1740,1760,,
3,69.194.109,False,True,7616,Soup bowl,Porcelain,American Decorative Arts,American,1885,1885,,
4,2006.235.20,False,True,15012,"Painting, miniature",Watercolor on ivory,American Decorative Arts,American,1840,1840,,
5,32.75.439,False,True,23510,Arrowhead (Yanonē),Steel,Arms and Armor,Japanese,1701,1800,,
6,36.120.286,False,True,29920,Knife handle (Kozuka),"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold",Arms and Armor,Japanese,1770,1852,,
7,23.135.3,False,True,32848,Coin (Thaler),Silver,Arms and Armor,German,1580,1580,,
8,"29.158.740a, b",False,True,34014,Two drawings,"Pen, ink and watercolor on paper",Arms and Armor,German,1501,1600,,
9,29.156.26,False,True,34308,Partisan,"Steel, wood, textile, metallic thread",Arms and Armor,German,1701,1800,,
10,29.100.1067,False,True,34477,Sword guard (Tsuba),"Iron, gold, silver, copper",Arms and Armor,Japanese,1590,1900,,
11,"91.16.91a, b",False,True,35163,Dirk with sheath,"Steel, horn, brass, leather, copper wire",Arms and Armor,possibly Spanish,1800,1850,,
12,1989.363.3,False,True,39917,Hanging scroll mounted as handscroll,Hanging scroll mounted as a handscroll; ink on paper,Asian Art,China,1037,1101,Chinese,Chinese
14,2001.433.180,False,True,53280,Bracelet,Bronze,Asian Art,Thailand,-300,400,,Japanese
15,JP1965,False,True,54547,Print,Polychrome woodblock print (surimono); ink and color on paper,Asian Art,Japan,1800,1899,Japanese,Japanese
16,14.76.61.20,False,True,54626,Album leaf,Album leaf; ink and color on silk,Asian Art,Japan,1877,1897,Japanese,Japanese
17,JP1412,False,True,55442,Print,Polychrome woodblock print; ink and color on paper,Asian Art,Japan,1838,1838,Japanese,
18,36.100.217,False,True,58899,Inrō,"Lacquer, hirame ground, gold, red, silver and brown hiramakie, raden inlay; Interior: nashiji and fundame",Asian Art,Japan,1800,1899,,
19,91.1.2074,False,True,62174,Basket,Bamboo,Asian Art,Japan,1800,1899,,
20,09.50.3297,False,True,67976,Piece,Silk / Brocaded,Asian Art,Japan,1800,1899,,Chinese
21,2005.509.32,False,False,72803,Hanging scroll,Hanging scroll; ink and color on paper,Asian Art,China,1966,1966,Chinese,
22,2011.576.8,False,True,77166,Drawing,Ink on paper,Asian Art,"India (Guler, Punjab Hills)",1790,1810,,Japanese
23,1993.154.1,False,False,80735,Belt,"leather, metal",Costume Institute,Japanese,1983,1987,Japanese|Japanese,British
24,"1999.248.25a, b",False,False,81291,Pumps,leather,Costume Institute,British,1980,1989,British,American
25,"1998.508.60a, b",False,False,81451,Evening dress,rayon,Costume Institute,American,1983,1984,American|American,Italian
26,"2002.199.10a, b",False,False,83780,Shoes,synthetic,Costume Institute,Italian,1983,1989,Italian,
27,"09.37.2a, b",False,True,90373,Earrings,metal,Costume Institute,"European, Eastern",1700,1899,,"French, born Italy"
28,1975.145.6,False,False,96100,Evening dress,[no medium available],Costume Institute,French,1966,1967,"French, born Italy",
29,X.278,False,False,98251,Cap,wool,Costume Institute,probably French,1800,1899,,French
30,1981.151.23,False,False,100359,Hat,"wool, cotton",Costume Institute,French,1949,1949,French|French,French
31,1981.151.23,False,False,100359,Hat,"wool, cotton",Costume Institute,French,1949,1949,French|French,American
32,"1977.287.19a, b",False,False,114490,Mules,"leather, wood, metal glass",Costume Institute,American,1959,1959,American,
33,"1980.185.7a, b",False,False,119757,Gloves,leather,Costume Institute,probably French,1950,1959,,
